wss,attenu,genre,day,meal,fqual,squal,amb,music,guests,satisfied
9.68,1.32,Male,Sun,Dinner,3star,5star,high,classical,2,No
30.4,5.6,Male,Sun,Dinner,3star,4star,high,classical,4,No
18.29,3,Male,Sun,Dinner,2star,4star,high,rock,2,Yes
22.23,5,Male,Sun,Dinner,3star,5star,moderate,jazz,2,No
32.4,6,Male,Sun,Dinner,2star,4star,high,classical,4,yes
28.55,2.05,Male,Sun,Dinner,3star,3star,high,bollywood,3,Yes
18.04,3,Male,Sun,Dinner,4star,4star,moderate,bollywood,2,No
12.54,2.5,Male,Sun,Dinner,4star,2star,moderate,jazz,2,Yes
10.29,2.6,Female,Sun,Dinner,3star,4star,moderate,rock,2,No
34.81,5.2,Female,Sun,Dinner,1star,4star,moderate,classical,4,No
9.94,1.56,Male,Sun,Dinner,5star,4star,high,rock,2,Yes
25.56,4.34,Male,Sun,Dinner,2star,1star,moderate,classical,4,Yes
19.49,3.51,Male,Sun,Dinner,4star,4star,high,classical,2,No
38.01,3,Male,Sat,Dinner,4star,5star,high,classical,4,yes
18.24,3.76,Male,Sat,Dinner,5star,2star,high,bollywood,2,yes
14.31,4,Female,Sat,Dinner,5star,2star,low,rock,2,Yes
14,3,Male,Sat,Dinner,4star,1star,low,rock,2,yes
7.25,1,Female,Sat,Dinner,5star,3star,moderate,bollywood,1,Yes
38.07,4,Male,Sun,Dinner,4star,3star,high,classical,3,No
23.95,2.55,Male,Sun,Dinner,4star,3star,low,classical,2,yes
25.71,4,Female,Sun,Dinner,4star,4star,high,classical,3,Yes
17.31,3.5,Female,Sun,Dinner,2star,1star,low,rock,2,No
29.93,5.07,Male,Sun,Dinner,4star,2star,high,rock,4,Yes
10.65,1.5,Female,Thur,Lunch,1star,5star,high,classical,2,Yes
12.43,1.8,Female,Thur,Lunch,4star,4star,low,classical,2,No
24.08,2.92,Female,Thur,Lunch,3star,4star,moderate,classical,4,No
11.69,2.31,Male,Thur,Lunch,3star,4star,moderate,bollywood,2,Yes
13.42,1.68,Female,Thur,Lunch,1star,2star,low,classical,2,Yes
14.26,2.5,Male,Thur,Lunch,2star,4star,high,classical,2,No
15.95,2,Male,Thur,Lunch,3star,4star,high,classical,2,No
12.48,2.52,Female,Thur,Lunch,3star,4star,moderate,bollywood,2,Yes
29.8,4.2,Female,Thur,Lunch,5star,3star,high,rock,6,No
8.52,1.48,Male,Thur,Lunch,4star,3star,moderate,jazz,2,No
14.52,2,Female,Thur,Lunch,4star,4star,high,classical,2,No
11.38,2,Female,Thur,Lunch,1star,2star,high,classical,2,yes
22.82,2.18,Male,Thur,Lunch,2star,2star,high,classical,3,yes
19.08,1.5,Male,Thur,Lunch,4star,2star,moderate,rock,2,No
20.27,2.83,Female,Thur,Lunch,1star,3star,high,bollywood,2,No
11.17,1.5,Female,Thur,Lunch,2star,4star,moderate,classical,2,Yes
12.26,2,Female,Thur,Lunch,1star,4star,low,rock,2,No
18.26,3.25,Female,Thur,Lunch,4star,5star,moderate,classical,2,No
8.51,1.25,Female,Thur,Lunch,2star,3star,moderate,classical,2,No
10.33,2,Female,Thur,Lunch,2star,4star,moderate,bollywood,2,Yes
14.15,2,Female,Thur,Lunch,2star,4star,moderate,classical,2,No
16,2,Male,Thur,Lunch,4star,4star,moderate,classical,2,yes
13.16,2.75,Female,Thur,Lunch,2star,1star,moderate,bollywood,2,No
17.47,3.5,Female,Thur,Lunch,4star,2star,high,classical,2,No
34.3,6.7,Male,Thur,Lunch,2star,4star,high,classical,6,Yes
41.19,5,Male,Thur,Lunch,5star,1star,low,bollywood,5,No
27.05,5,Female,Thur,Lunch,4star,1star,moderate,rock,6,Yes
16.43,2.3,Female,Thur,Lunch,4star,3star,moderate,jazz,2,No
8.35,1.5,Female,Thur,Lunch,5star,3star,high,rock,2,No
18.64,1.36,Female,Thur,Lunch,2star,4star,high,jazz,3,Yes
11.87,1.63,Female,Thur,Lunch,4star,3star,low,classical,2,No
9.78,1.73,Male,Thur,Lunch,2star,3star,low,bollywood,2,No
7.51,2,Male,Thur,Lunch,4star,4star,high,classical,2,No
14.07,2.5,Male,Sun,Dinner,3star,4star,high,classical,2,No
13.13,2,Male,Sun,Dinner,4star,2star,moderate,classical,2,No
17.26,2.74,Male,Sun,Dinner,2star,3star,moderate,rock,3,No
24.55,2,Male,Sun,Dinner,1star,1star,high,classical,4,No
19.77,2,Male,Sun,Dinner,5star,3star,high,bollywood,4,Yes
29.85,5.14,Female,Sun,Dinner,4star,1star,high,classical,5,Yes
48.17,5,Male,Sun,Dinner,4star,4star,moderate,rock,6,Yes
25,3.75,Female,Sun,Dinner,2star,4star,moderate,rock,4,Yes
13.39,2.61,Female,Sun,Dinner,4star,4star,high,classical,2,Yes
16.49,2,Male,Sun,Dinner,4star,5star,high,classical,4,No
21.5,3.5,Male,Sun,Dinner,3star,3star,moderate,classical,4,No
12.66,2.5,Male,Sun,Dinner,3star,1star,low,classical,2,yes
16.21,2,Female,Sun,Dinner,1star,2star,low,classical,3,No
13.81,2,Male,Sun,Dinner,2star,1star,high,classical,2,Yes
17.51,3,Female,Sun,Dinner,4star,1star,low,bollywood,2,yes
24.52,3.48,Male,Sun,Dinner,4star,4star,high,rock,3,Yes
20.76,2.24,Male,Sun,Dinner,2star,3star,high,rock,2,Yes
31.71,4.5,Male,Sun,Dinner,3star,4star,high,classical,4,yes
10.59,1.61,Female,Sat,Dinner,3star,3star,high,classical,2,Yes
10.63,2,Female,Sat,Dinner,3star,2star,low,classical,2,No
50.81,10,Male,Sat,Dinner,2star,3star,high,jazz,3,No
15.81,3.16,Male,Sat,Dinner,4star,2star,moderate,jazz,2,No
7.25,5.15,Male,Sun,Dinner,2star,2star,high,rock,2,No
31.85,3.18,Male,Sun,Dinner,4star,3star,high,bollywood,2,No
16.82,4,Male,Sun,Dinner,1star,2star,moderate,rock,2,Yes
32.9,3.11,Male,Sun,Dinner,3star,4star,low,classical,2,No
17.89,2,Male,Sun,Dinner,4star,5star,high,rock,2,No
14.48,2,Male,Sun,Dinner,5star,5star,moderate,rock,2,No
9.6,4,Female,Sun,Dinner,3star,3star,moderate,rock,2,No
34.63,3.55,Male,Sun,Dinner,3star,4star,low,rock,2,Yes
34.65,3.68,Male,Sun,Dinner,4star,2star,high,classical,4,No
23.33,5.65,Male,Sun,Dinner,4star,2star,high,classical,2,No
45.35,3.5,Male,Sun,Dinner,4star,2star,moderate,classical,3,No
23.17,6.5,Male,Sun,Dinner,5star,1star,low,jazz,4,Yes
40.55,3,Male,Sun,Dinner,2star,2star,high,classical,2,No
20.69,5,Male,Sun,Dinner,2star,3star,high,rock,5,No
20.9,3.5,Female,Sun,Dinner,4star,4star,low,classical,3,No
30.46,2,Male,Sun,Dinner,4star,4star,high,bollywood,5,No
18.15,3.5,Female,Sun,Dinner,3star,1star,moderate,classical,3,No
23.1,4,Male,Sun,Dinner,2star,1star,low,classical,3,Yes
15.69,1.5,Male,Sun,Dinner,3star,3star,moderate,classical,2,No
19.81,4.19,Female,Thur,Lunch,4star,4star,high,classical,2,No
28.44,2.56,Male,Thur,Lunch,2star,4star,low,classical,2,Yes
15.48,2.02,Male,Thur,Lunch,4star,4star,high,bollywood,2,Yes
16.58,4,Male,Thur,Lunch,1star,4star,high,jazz,2,No
7.56,1.44,Male,Thur,Lunch,4star,4star,moderate,classical,2,Yes
10.34,2,Male,Thur,Lunch,4star,4star,high,classical,2,No
43.11,5,Female,Thur,Lunch,5star,2star,moderate,bollywood,4,No
13,2,Female,Thur,Lunch,5star,2star,high,classical,2,Yes
12.69,2,Male,Sat,Dinner,4star,5star,high,rock,2,No
21.7,4.3,Male,Sat,Dinner,3star,2star,moderate,bollywood,2,No
19.65,3,Female,Sat,Dinner,3star,2star,high,classical,2,No
9.55,1.45,Male,Sat,Dinner,3star,4star,high,classical,2,Yes
18.35,2.5,Male,Sat,Dinner,1star,5star,low,rock,4,No
15.06,3,Female,Sat,Dinner,4star,4star,moderate,classical,2,yes
20.69,2.45,Female,Sat,Dinner,2star,2star,moderate,classical,4,No
17.78,3.27,Male,Sat,Dinner,2star,2star,high,classical,2,No
24.06,3.6,Male,Sat,Dinner,2star,3star,moderate,bollywood,3,No
16.31,2,Male,Sat,Dinner,2star,4star,high,classical,3,Yes
32.4,6,Male,Sun,Dinner,2star,4star,high,classical,4,Yes
28.55,2.05,Male,Sun,Dinner,3star,3star,high,bollywood,3,Yes
